Tecnología,Porcentaje de uso
Internet,95.8%
Teléfono móvil,67%
Computadora de escritorio,83%
Computadora portátil,83%
Televisión de pago,43%
Servicios de streaming de pago,19%
Redes sociales,50%
Correo electrónico,90%
Búsqueda en línea,80%
Aplicaciones móviles,70%
Videojuegos en línea,30%
Comercio electrónico,56.7%
Banca en línea,60%
Servicios de música en streaming,40%
Servicios de video en streaming,50%
Asistentes virtuales,20%
Dispositivos inteligentes para el hogar,25%
Realidad aumentada,10%
Realidad virtual,5%
Impresión 3D,2%
Blockchain,1%
Criptomonedas,1%
Inteligencia artificial,15%
Big Data,10%
Computación en la nube,20%
Internet de las cosas (IoT),30%
5G,5%
Automóviles autónomos,1%
Drones,2%
